,Date,economy,Inflation,Year
0,1960-01-01,Austria,1.945749352,1960
1,1960-01-01,Switzerland,1.438794703,1960
2,1960-01-01,Germany,1.53661156,1960
3,1960-01-01,Denmark,1.255230126,1960
4,1960-01-01,Spain,1.177771084,1960
5,1960-01-01,Finland,3.418127254,1960
6,1960-01-01,France,4.139935755,1960
7,1960-01-01,Greece,1.477847585,1960
8,1960-01-01,Ireland,0.450837269,1960
9,1960-01-01,Iceland,1.988397239,1960
10,1960-01-01,Italy,2.350161414,1960
11,1960-01-01,Luxemburg,0.449620296,1960
12,1960-01-01,Malta,3.384615385,1960
13,1960-01-01,Netherlands,2.323943662,1960
14,1960-01-01,Norway,0.360492347,1960
15,1960-01-01,Portugal,3.046592778,1960
16,1960-01-01,Sweden,4.141779151,1960
17,1961-01-01,Austria,3.542239867,1961
18,1961-01-01,Switzerland,1.845397874,1961
19,1961-01-01,Germany,2.293675796,1961
20,1961-01-01,Denmark,3.451628586,1961
21,1961-01-01,Spain,0.809252874,1961
22,1961-01-01,Finland,1.691001915,1961
23,1961-01-01,France,2.400461045,1961
24,1961-01-01,Greece,2.10357935,1961
25,1961-01-01,Ireland,2.756999359,1961
26,1961-01-01,Iceland,4.711614997,1961
27,1961-01-01,Italy,2.050697313,1961
28,1961-01-01,Luxemburg,0.482433591,1961
29,1961-01-01,Malta,2.511321531,1961
30,1961-01-01,Netherlands,1.307639367,1961
31,1961-01-01,Norway,2.155172777,1961
32,1961-01-01,Portugal,1.54899697,1961
33,1961-01-01,Sweden,2.15797311,1961
34,1962-01-01,Austria,4.381798639,1962
35,1962-01-01,Switzerland,4.315992878,1962
36,1962-01-01,Germany,2.843280086,1962
37,1962-01-01,Denmark,7.377819548,1962
38,1962-01-01,Spain,5.706477193,1962
39,1962-01-01,Finland,4.383982782,1962
40,1962-01-01,France,5.331280071,1962
41,1962-01-01,Greece,-0.475428291,1962
42,1962-01-01,Ireland,4.263727121,1962
43,1962-01-01,Iceland,11.01629245,1962
44,1962-01-01,Italy,4.691143607,1962
45,1962-01-01,Luxemburg,0.895946647,1962
46,1962-01-01,Malta,0.168674699,1962
47,1962-01-01,Netherlands,2.431122644,1962
48,1962-01-01,Norway,5.274259529,1962
49,1962-01-01,Portugal,2.662064179,1962
50,1962-01-01,Sweden,4.766197219,1962
51,1963-01-01,Austria,2.708766995,1963
52,1963-01-01,Switzerland,3.44021288,1963
53,1963-01-01,Germany,2.966960863,1963
